"","ALB","HP","MT.ATP6","APOA2","MT.ATP8","SAA1","MT.CO1","MT.CO2","MT.CO3","SAA2","MT.ND4","ORM1","MT.ND3","SERPINA1","FTL","APOC3","MT.ND2","MT.ND4L","APOC1","MT.CYB","APOA1","MT.ND1","CLPS","C3","FGB","FGA","CRP","RBP4","MT1G","FGG","MT.ND6","APOE","TF","B2M","REG3A","CLU","CYP2E1","TTR","FABP1","ORM2","SERPINA3","APOH","GLUL","MT2A","AMBP","APOC2","MT.ND5","FTH1","PRSS1","MT1B","MT1X","CES1","RPS27","EEF1A1","ALDOB","FGL1","PLA2G2A","HPX","RPS18","CFB","SPINK1","VTN","RPL8","TMSB4X","AHSG","NNMT","AFP","RPS19","SERPINC1","APOA4","EPHX1","TPT1","C4A","GAPDH","C4B","RPL39","RPL10","RPL37A","C1R","RPL13A","HPD","RPS24","A1BG","IL32","RPL30","GC","RPS16","ADH1B","RPS21","SERPING1","SPP1","TMSB10","MT1E","REG1A","IFI27","RPS29","HRG","RPL13","CD74","APCS","Category"
"TCGA-DD-A1EA-01A-11R-A131-07",208544.12,400098.69,701458.36,414208.18,731246.37,24490.61,828417.36,619179.28,569761.05,14361.31,437825.58,45701.96,280957.98,375901.76,284880.02,129266.49,305326.92,370726.6,271387.49,365622.68,54349.29,373305.21,0,175363.84,59887.86,92040.7,91.41,138544.47,759.08,68793.23,156954.93,155870.75,87681.42,200048.85,23656.34,169390.27,124863.17,11189.6,15075.35,42054.3,59887.86,80125.95,345900.08,7803.01,72715.74,85283.74,121448.75,59474.18,24.46,0,5831.91,72213.45,80125.95,105727.15,11424.74,27174.14,36106.23,40621.74,38966.94,31870.96,155.5,54349.29,19482.97,18819.27,32092.64,27174.14,137.14,22380.2,49322.93,5.68,81244.48,72715.74,47642.77,45386.27,40904.3,38697.77,66449.85,28525.2,46019.85,29943.43,80125.95,24321.43,19482.97,25530.66,26800.01,62431.08,26614.89,35609.13,19214.73,48307.85,4869.99,8078.22,1857.6,3372.43,19892.37,30572.63,6607.01,33224.42,107203.06,53230.77,1
"TCGA-5R-AAAM-01A-12R-A41C-07",958220.73,783730.52,645473.24,489177,696613.03,236256.4,805764.22,550352.86,581732.96,169390.27,419990.32,294926.33,419990.32,546551.29,375901.76,391864.76,402881.61,411347.03,485798,327241.36,381149.17,343510.77,0,254974.66,179048.63,195931.88,147462.67,248002.34,6607.01,160252.91,112532.89,122293.5,75280.1,187950.38,0,108699.57,24490.61,63302.6,116501.39,79022.82,135693.24,124000.67,16269.83,40904.3,128373.58,109455.64,92680.9,91404.92,0,0,32767,85876.94,81244.48,94628.34,52863.07,67846.12,9673.69,81809.59,60723.88,95286.54,3742.05,113315.62,50359.33,68318.04,28328.16,27553.49,117.6,46662.28,61146.25,107203.06,51062.33,101420.22,85283.74,62431.08,87075.75,64632.75,65082.31,59063.35,77934.88,58250.19,27363.16,43840.21,54349.29,39785.74,59474.18,63302.6,43537.38,37639.55,42937.97,92040.7,3564.78,20881.4,5183.54,0,2271.4,57847.82,59474.18,53601.03,37901.36,26067.14,1
"TCGA-CC-A9FS-01A-11R-A37K-07",721179.07,479109.86,1123834.93,1393227.06,1041331.96,167058.21,1273174.62,741454.2,800198.39,86474.27,614902.29,171754.88,542775.98,389157.95,313910.86,443937.41,746611.43,619179.28,520665.48,663619.99,258533.99,577714.63,0,290865.98,53973.86,61571.56,3081.75,202841.44,532.74,40062.48,236256.4,313910.86,143430.26,151608.43,0,148488.36,947.83,100719.65,162489.97,43840.21,81809.59,126606.21,5995.9,2148.82,134755.94,132900.7,204252.32,102125.66,0,0,1331.57,37901.36,51062.33,68318.04,60304.42,37901.36,9.13,47642.77,57847.82,102125.66,1242.34,122293.5,105727.15,33455.53,2032.85,12589.08,351.14,53601.03,39785.74,8.58,18950.18,41763.8,51062.33,50359.33,55877.28,77396.54,90146.51,47642.77,48307.85,43537.38,36106.23,50359.33,4181.07,8598.28,99333,29327.18,34396.12,15715.58,28923.41,55877.28,587.13,17681.08,642.59,0,1369.04,47974.16,41763.8,27553.49,19618.49,82951.62,1
"TCGA-ZP-A9D0-01A-11R-A37K-07",736332.6,400098.69,338781.54,1147449.11,320506.81,3060.45,1070607.81,520665.48,550352.86,4095,453265.5,59474.18,153724.82,229795.93,218912.29,148488.36,182810.84,363097.14,249727.34,320506.81,105727.15,164758.26,0,334117.42,226632.25,353168.2,1044.52,167058.21,371.22,284880.02,236256.4,290865.98,280957.98,92680.9,166.73,139508.13,8778.97,65990.84,71219.26,20737.16,32092.64,167058.21,13968.57,4123.49,78476.96,122293.5,140478.49,88905.42,0,0,563.18,61571.56,60723.88,94628.34,40621.74,34876.28,67377.47,151608.43,68318.04,113315.62,2682.69,139508.13,33922.56,12244.81,77934.88,961.07,38.95,36610.26,137587.47,819.3,116501.39,54349.29,67846.12,79022.82,80683.28,40341.14,63302.6,47313.67,25708.25,42641.37,60723.88,46662.28,18689.27,37639.55,37901.36,85876.94,32767,27745.15,30999.42,71714.63,138.1,9344.14,356.05,106.63,688.78,53230.77,36610.26,54727.32,6121.9,10733.74,1
"TCGA-G3-A5SL-01A-11R-A27V-07",1055868.42,417089.23,894051.48,1100706.72,951601.81,16496.96,767601.56,772940.66,598087.73,6079.61,531605.79,85876.94,485798,262143,320506.81,125731.67,408505.64,228208.61,469249.9,363097.14,57448.23,311742.51,0,147462.67,100023.92,174152.51,2075.59,256748.15,872.1,121448.75,172949.54,111755.56,59887.86,175363.84,10659.59,102125.66,132900.7,54727.32,43236.64,35363.15,40621.74,194578.47,132900.7,4358.66,100023.92,98646.85,73730.83,83528.61,0,0,14765.09,102125.66,80125.95,55491.3,12589.08,10225.32,118.43,48307.85,89523.81,84109.6,105.15,64632.75,62865.33,21768.19,21468.49,1268.46,334.46,31650.8,79572.48,138.1,97288.74,82951.62,74760.09,36610.26,80683.28,35118.87,46339.95,48643.87,21468.49,42346.82,60304.42,44145.15,17317.18,14971.21,105727.15,55107.99,28132.47,61146.25,26067.14,45386.27,1044.52,11424.74,1242.34,470.14,915.51,47642.77,29327.18,32767,7537.18,81809.59,1
"TCGA-DD-A4NE-01A-11R-A27V-07",2025714.3,181548.07,839981.65,348306.01,1229805.58,107948.72,762299.34,619179.28,619179.28,47974.16,677564.08,316094.29,246289.25,200048.85,193234.41,115696.65,208544.12,431797.89,231394.29,324980.94,48643.87,256748.15,0,254974.66,110983.6,135693.24,16157.44,80125.95,152.28,135693.24,223512.12,155870.75,136637.07,95949.32,0,86474.27,316.37,43236.64,51417.5,20593.91,23656.34,152662.96,9151.82,1378.57,36106.23,117311.73,115696.65,163620.18,0,0,463.65,44452.21,68793.23,102836.01,131982.68,9409.14,2047,40904.3,97288.74,102836.01,25005.23,52497.92,29943.43,56265.94,33922.56,2400.97,336.79,37121.34,33224.42,1819.35,30572.63,78476.96,59474.18,52135.28,81809.59,40062.48,64186.29,42937.97,32315.87,45072.75,7433.4,49322.93,7537.18,19082,39237.98,85876.94,34158.52,50709.61,30999.42,47974.16,142.01,12415.75,438.59,7.57,780.44,46339.95,24660.96,21768.19,12076.21,26431.04,1
"TCGA-G3-A5SK-01A-11R-A27V-07",2310861.52,1412675.8,1327240.99,887875.81,1634025.56,520665.48,863596.77,938500.81,845824.19,303217.87,805764.22,610654.84,573724.06,606436.73,311742.51,459592.86,524287,386469.83,925580.18,419990.32,189257.69,428815.23,0,482442.34,434801.29,394590.4,36610.26,182810.84,3212.66,368165.8,159145.95,202841.44,280957.98,414208.18,182.55,169390.27,19348.38,135693.24,127486.83,190574.09,120609.84,182810.84,9025.81,45386.27,201440.3,194578.47,74243.68,68793.23,0,0,36357.37,67377.47,82951.62,89523.81,64632.75,126606.21,62431.08,115696.65,43537.38,177811.84,1628.26,99333,23656.34,26431.04,58655.36,73730.83,106.63,30361.44,102125.66,2976.74,45072.75,118949.35,53230.77,34158.52,53973.86,100719.65,60723.88,39237.98,65082.31,32540.65,33455.53,25708.25,56657.31,25887.07,28923.41,124863.17,23986.58,26800.01,26067.14,76330.98,76.71,13306.94,25005.23,45.21,122293.5,43537.38,41475.31,28328.16,21172.91,124000.67,1
"TCGA-DD-AAW1-01A-11R-A41C-07",772940.66,492579.5,569761.05,1589343.01,593956.43,8134.41,716197.51,894051.48,485798,3847.29,627822.72,89523.81,425853.18,290865.98,329517.51,405683.88,554180.87,585779.24,589853.66,589853.66,55107.99,204252.32,0,159145.95,133825.1,217400.14,289.02,180294.02,1378.57,153724.82,151608.43,120609.84,211455.3,229795.93,422911.59,299043.36,175363.84,79022.82,3039.3,41188.81,26800.01,176583.6,275175.93,14163.58,146444.06,65535,118949.35,84109.6,12.64,0,15934.98,140478.49,97965.44,97965.44,11424.74,3257.52,1066.48,78476.96,57448.23,53230.77,264.03,48307.85,55877.28,19754.96,40904.3,4095,242.88,52135.28,94628.34,6.78,103551.29,92040.7,81809.59,39237.98,75280.1,107203.06,139508.13,57448.23,32767,40341.14,87075.75,37121.34,17681.08,18560.17,73221.53,73221.53,36357.37,88905.42,32092.64,59474.18,738.29,8078.22,6516.03,497,118949.35,72213.45,2434.5,44452.21,20881.4,93974.69,1
"TCGA-BC-A10X-01A-11R-A131-07",1739208.14,794671.01,958220.73,546551.29,919186.72,21172.91,731246.37,696613.03,721179.07,8305.36,649962.87,313910.86,343510.77,558035.51,208544.12,309589.14,417089.23,391864.76,499455.67,462789.59,419990.32,365622.68,0,394590.4,191899.64,253213.41,12415.75,267651.2,108699.57,170568.48,175363.84,177811.84,182810.84,214407.12,13.62,211455.3,132900.7,84694.64,81809.59,102125.66,71219.26,179048.63,26986.43,93974.69,130165.62,139508.13,102125.66,88905.42,0,397.93,67846.12,67846.12,75280.1,118949.35,67846.12,73221.53,5831.91,99333,60304.42,93325.55,7081.29,102836.01,34635.37,46986.85,60723.88,41763.8,226.54,32540.65,58250.19,2739.08,29943.43,110983.6,40341.14,53601.03,56265.94,51775.15,47974.16,50359.33,90146.51,42346.82,36106.23,51775.15,66912.05,21919.61,36864.92,85876.94,30785.28,56265.94,25005.23,80683.28,1709.26,20451.65,38164.99,0,3540.14,57051.4,46019.85,45386.27,24153.43,45386.27,1
"TCGA-LG-A9QC-01A-11R-A37K-07",237899.7,43537.38,502929.67,513497.31,546551.29,612.11,331809.5,623486.02,307450.64,176.29,668235.84,120609.84,985160.01,397335,144427.91,365622.68,1556634.79,550352.86,237899.7,499455.67,12589.08,373305.21,0,113315.62,14561.8,31870.96,316.37,186652.11,52.45,14461.21,67377.47,95949.32,24321.43,260332.24,2104.58,1896.65,179048.63,379.04,49322.93,59474.18,4802.93,177811.84,241220.67,4836.35,197294.7,90773.53,92040.7,104996.83,9.27,0,2240.11,39237.98,63742.91,100023.92,226.54,16611.71,0,2739.08,40621.74,42641.37,444.72,42641.37,26248.46,33224.42,7382.04,423.61,356.05,29327.18,64186.29,8.85,101420.22,69271.73,23986.58,46662.28,23820.89,20737.16,40621.74,44452.21,26431.04,30785.28,37.59,32767,31215.04,5255.91,29943.43,29327.18,28328.16,38697.77,26248.46,11504.21,142.01,9945.68,212.78,2351.53,27553.49,36864.92,12676.65,44145.15,5672.41,4903.87,1
"TCGA-G3-A5SM-01A-12R-A28V-07",778316.89,1085552.95,839981.65,1264380.15,751804.53,535303.41,998912.34,887875.81,783730.52,294926.33,517068.97,402881.61,307450.64,531605.79,971597,414208.18,307450.64,322736.12,623486.02,408505.64,208544.12,202841.44,0,229795.93,163620.18,168220.2,353168.2,265802.39,13968.57,145432.49,156954.93,229795.93,96616.71,279017.26,303.44,226632.25,26067.14,85876.94,42346.82,77934.88,164758.26,73221.53,6037.61,24153.43,142439.51,165904.25,104996.83,147462.67,5.59,36.79,10659.59,208544.12,98646.85,70727.3,74243.68,169390.27,38966.94,124000.67,38430.46,122293.5,32767,116501.39,28132.47,36864.92,32540.65,42937.97,67.59,44452.21,83528.61,53.95,81809.59,48643.87,76330.98,87681.42,83528.61,46662.28,58250.19,47313.67,67377.47,44452.21,38164.99,40621.74,75280.1,211455.3,33224.42,40621.74,37901.36,21026.65,34876.28,77934.88,6652.97,31870.96,5751.61,40.36,65990.84,42937.97,31432.17,54349.29,69271.73,82951.62,1
"TCGA-DD-A1EB-01A-11R-A131-07",767601.56,811368.76,1123834.93,998912.34,1327240.99,4298.64,932018.1,1048575,978355,1143.1,736332.6,242898.5,236256.4,414208.18,32315.87,659036.03,292889.12,565825.41,614902.29,336441.4,234624.45,411347.03,28.65,170568.48,28328.16,69753.56,8.51,550352.86,988.12,51417.5,163620.18,324980.94,408505.64,249727.34,0,299043.36,40.93,3124.78,0,42054.3,17927.91,22.1,15499.21,11827.67,91404.92,139508.13,123144.13,65082.31,39.22,0,19482.97,59887.86,59887.86,93974.69,110983.6,3794.3,297.17,58250.19,32315.87,119776.72,15.56,134755.94,18178.19,23330.64,41763.8,2335.28,11.73,18431.96,120609.84,5.45,69753.56,63302.6,70727.3,61146.25,61146.25,23820.89,46986.85,20310.37,73221.53,49666,40621.74,29943.43,89523.81,15075.35,25354.3,4836.35,24153.43,36357.37,17804.06,74760.09,25.35,7331.05,5872.48,8.85,18304.63,41188.81,9.78,37121.34,12160.22,1051.79,1
"TCGA-DD-AACA-01A-11R-A41C-07",466008.55,48307.85,645473.24,585779.24,746611.43,693.58,632189.57,869603.57,569761.05,327.56,542775.98,35609.13,456418.21,145432.49,391864.76,50359.33,336441.4,482442.34,296977.71,383800.28,131071,316094.29,0,47313.67,7911.95,42937.97,27.05,128373.58,3372.43,21468.49,50011.46,123144.13,68318.04,131982.68,11992.79,167058.21,70727.3,8078.22,27174.14,20310.37,1594.73,67846.12,119776.72,5479.15,52135.28,63742.91,56265.94,85876.94,0,269.6,5366.37,64632.75,105727.15,175363.84,5594.3,5954.47,269.6,18178.19,159145.95,8191,68.07,27363.16,85876.94,15392.14,84109.6,217.27,295.11,74760.09,21468.49,7,46019.85,116501.39,25005.23,52497.92,23330.64,78476.96,102125.66,98646.85,7803.01,75803.72,28723.62,77934.88,7081.29,10440.2,102836.01,16383,72715.74,36106.23,53973.86,25354.3,5076.84,7331.05,3081.75,0,2835.7,104271.56,1757.34,85283.74,14867.79,6745.86,1
"TCGA-BC-A110-01A-11R-A131-07",1622738.51,1085552.95,869603.57,589853.66,524287,417089.23,845824.19,731246.37,1012856.65,296977.71,506427.83,875652.15,711250.37,731246.37,239554.43,513497.31,428815.23,187950.38,482442.34,389157.95,431797.89,443937.41,0,573724.06,343510.77,334117.42,246289.25,237899.7,140478.49,294926.33,158046.64,179048.63,103551.29,181548.07,0,131071,80125.95,110216.97,90146.51,215898.44,242898.5,140478.49,4210.15,301123.38,151608.43,140478.49,59063.35,104271.56,0,105.15,223512.12,58655.36,121448.75,123144.13,66449.85,65990.84,30572.63,124000.67,62431.08,152662.96,6337.83,117311.73,42937.97,79572.48,44452.21,164758.26,176.29,61999.83,55877.28,8598.28,24321.43,119776.72,85876.94,45386.27,84694.64,62865.33,74243.68,74760.09,90146.51,65535,25005.23,61571.56,87681.42,57448.23,51062.33,59887.86,45386.27,19892.37,45701.96,97288.74,866.07,44761.41,104996.83,11.73,5995.9,77934.88,32315.87,82378.63,36610.26,52497.92,1
"TCGA-5C-A9VH-01A-11R-A37K-07",589853.66,208544.12,405683.88,1535204.12,360589.03,45386.27,716197.51,417089.23,499455.67,8901.53,338781.54,104996.83,176583.6,636586.81,443937.41,267651.2,171754.88,241220.67,573724.06,172949.54,368165.8,248002.34,0,353168.2,103551.29,148488.36,41475.31,99333,283.05,82378.63,50359.33,313910.86,96616.71,193234.41,0,160252.91,25354.3,81809.59,51775.15,9474.59,214407.12,131982.68,14867.79,2855.44,80683.28,209994.66,42641.37,140478.49,0,0,591.22,19082,128373.58,107203.06,7911.95,80683.28,1350.18,43537.38,68793.23,55877.28,153724.82,145432.49,109455.64,54349.29,19892.37,4210.15,7230.1,53973.86,34396.12,470.14,38966.94,99333,38164.99,61571.56,35856.82,55107.99,62865.33,62431.08,12589.08,62865.33,3491.39,66449.85,27938.14,73730.83,97288.74,25005.23,38430.46,5255.91,35609.13,34635.37,341.51,57448.23,599.49,13.22,4903.87,52863.07,25887.07,66912.05,10014.87,11267.44,1
