"","PNLIP","CELA3A","CLPS","MT.CO1","CELA3B","REG1A","MT.ATP8","MT.ATP6","MT.ND4","MT.CO2","MT.CO3","SYCN","TG","MT.ND3","MT.ND4L","MT.CYB","MT.ND2","MT.ND1","MT.ND6","CLU","CELA2A","B2M","FN1","MT.ND5","CPA1","FTH1","S100A6","CTSB","HSPA1B","EEF1A1","TMSB4X","CD74","RPS27","FTL","GNAS","GPX3","HSPA1A","MT1G","NPC2","TMSB10","TPT1","SFTPB","CALCA","TPO","HLA.B","TIMP1","RPL13","RPL37A","RPL41","INS","SLC34A2","HBA2","RPL10","RPL13A","RPS29","ACTB","APOE","RPL31","RPS24","AL590235.1","SPARC","VIM","TFF3","GP2","RPS18","SERPINA1","HBB","RPL12","RPL39","MT1X","RPS11","HLA.A","RPS6","RPL3","RPL26","RPS19","RPL28","ACTG1","RPL27A","GAPDH","DNAJB1","RPS2","RPS4X","RPS23","RPS4Y1","UBC","DPRX","RPS20","CHI3L1","RPL24","RPL34","RPS3A","S100A4","RPL7A","C3","CALR","HSP90B1","RPL8","HLA.C","ANXA1","Y"
"TCGA-ET-A3BU-01A-11R-A19O-07",0,0,0,57847.82,0,20.56,90773.53,148488.36,87681.42,161367.56,161367.56,0,309589.14,200048.85,72715.74,65990.84,60723.88,30999.42,15715.58,205673.01,0,155870.75,82951.62,14765.09,22.75,120609.84,135693.24,77934.88,2573.36,277089.94,124863.17,21468.49,171754.88,73221.53,42346.82,81244.48,2319.15,575.03,59474.18,82378.63,147462.67,36106.23,9.48,5255.91,26800.01,38697.77,77396.54,83528.61,95286.54,0,30151.71,1407.55,99333,84694.64,74243.68,45072.75,27174.14,80683.28,81809.59,0,33224.42,52135.28,341.51,0,68793.23,22380.2,1350.18,57847.82,73221.53,3491.39,69271.73,15607.02,59063.35,80683.28,63302.6,56657.31,51417.5,69753.56,61571.56,43537.38,915.51,57448.23,38966.94,53601.03,32092.64,29327.18,0,53230.77,684.02,48643.87,57051.4,60304.42,13033.07,54727.32,30999.42,20593.91,18560.17,61146.25,10296.45,23169.48,1
"TCGA-BJ-A2N7-01A-11R-A18C-07",0,0,0,411347.03,0,51.71,422911.59,472513.8,348306.01,437825.58,381149.17,0,691801.16,431797.89,167058.21,311742.51,226632.25,182810.84,220434.95,116501.39,0,162489.97,11345.82,79022.82,0,119776.72,34876.28,193234.41,7032.37,284880.02,39237.98,23986.58,167058.21,74243.68,156954.93,95949.32,5076.84,40341.14,51062.33,36106.23,185362.8,5479.15,12.45,30785.28,17927.91,13681.08,80683.28,104996.83,104271.56,0,5112.16,2502.97,104996.83,85876.94,85876.94,46986.85,2367.9,82951.62,95949.32,0,22535.88,30572.63,981.29,0,86474.27,4575.41,3146.52,63302.6,79572.48,72213.45,81809.59,17681.08,81809.59,81244.48,74760.09,55877.28,53230.77,50011.46,85283.74,45072.75,1388.16,48643.87,52863.07,73730.83,48.87,32092.64,0,57448.23,2485.67,66449.85,67377.47,68318.04,2271.4,65082.31,3847.29,33922.56,23656.34,67377.47,6745.86,7382.04,1
"TCGA-BJ-A45C-01A-11R-A23W-07",0,0,0,236256.4,0,0,267651.2,267651.2,205673.01,220434.95,249727.34,0,627822.72,190574.09,107948.72,106462.55,124000.67,79022.82,71219.26,148488.36,0,61571.56,1991,39510.91,0,96616.71,25179.16,57448.23,1709.26,254974.66,24490.61,6250.56,151608.43,63302.6,100023.92,85283.74,480.04,26067.14,11189.6,24153.43,72213.45,101.54,0,39785.74,8901.53,1745.2,147462.67,111755.56,110983.6,29.91,674.59,1583.71,128373.58,106462.55,77934.88,39785.74,830.75,83528.61,85876.94,0,17927.91,130165.62,28923.41,0,87075.75,1628.26,679.29,69271.73,76330.98,27745.15,93974.69,16157.44,82951.62,87681.42,62865.33,89523.81,63742.91,62865.33,81809.59,33455.53,532.74,56657.31,32540.65,76330.98,35609.13,12764.83,3.63,62431.08,4.78,66449.85,54727.32,71219.26,1529.73,67846.12,98.04,34635.37,27938.14,69271.73,6337.83,3901.01,1
"TCGA-J8-A4HW-01A-11R-A250-07",0,0,0,253213.41,0,5.36,373305.21,299043.36,160252.91,225066.78,236256.4,0,254974.66,186652.11,115696.65,114103.8,131071,72213.45,100023.92,313910.86,0,96616.71,60723.88,64186.29,0,82378.63,101420.22,79572.48,2417.67,242898.5,91404.92,17558.94,105727.15,40341.14,36610.26,69753.56,3039.3,1030.12,33922.56,70727.3,107203.06,4450.27,0.75,5183.54,11424.74,34396.12,65990.84,69271.73,66912.05,0,24832.5,753.83,74760.09,70238.75,59474.18,40341.14,7857.29,65535,71714.63,0,40341.14,46019.85,1844.76,0,67846.12,18689.27,785.88,57448.23,54727.32,2303.12,57051.4,13033.07,64186.29,72213.45,58655.36,54727.32,42346.82,71219.26,51775.15,37901.36,954.43,49666,39237.98,45701.96,21.16,17804.06,2.05,50709.61,77.25,50709.61,51417.5,54349.29,10733.74,57448.23,1594.73,19754.96,21617.82,53601.03,8901.53,19348.38,1
"TCGA-ET-A2MX-01A-11R-A23N-07",0,0,0,1578364.61,0,0,378516.38,569761.05,246289.25,1412675.8,1026995.62,0,193234.41,598087.73,101420.22,311742.51,345900.08,194578.47,75803.72,254974.66,0,225066.78,79572.48,34396.12,0,241220.67,182810.84,85283.74,2148.82,318292.9,131982.68,40341.14,269512.87,92680.9,59474.18,58655.36,2209.26,2520.38,52497.92,51775.15,174152.51,1199.98,4.35,1745.2,41475.31,15075.35,154794.07,140478.49,149521.18,0,36610.26,6745.86,131071,144427.91,128373.58,61571.56,4210.15,116501.39,119776.72,0,9151.82,27174.14,103.69,0,107203.06,22850.48,8718.32,111755.56,104271.56,6607.01,102836.01,25887.07,95949.32,99333,107203.06,88291.3,79572.48,76330.98,105727.15,60723.88,1388.16,87681.42,44452.21,85283.74,50709.61,42641.37,0,79022.82,1709.26,83528.61,66449.85,104996.83,8022.41,100023.92,6164.49,9279.58,11992.79,97288.74,12853.63,33224.42,1
"TCGA-EM-A2CU-01A-12R-A180-07",0,0,0,191899.64,0,0,363097.14,336441.4,244588,296977.71,303217.87,0,402881.61,329517.51,162489.97,175363.84,176583.6,95949.32,22850.48,282912.21,0,190574.09,53230.77,23986.58,0,102125.66,77396.54,60304.42,2758.13,214407.12,193234.41,64186.29,106462.55,71219.26,88905.42,46986.85,4512.4,4328.55,69753.56,81244.48,120609.84,1487.87,1519.15,10014.87,27938.14,53973.86,93325.55,81244.48,65082.31,0,2875.3,13492.72,76330.98,77934.88,57448.23,58655.36,42641.37,57051.4,65990.84,0,26614.89,59063.35,1151.06,0,53973.86,11909.94,14262.1,58250.19,41188.81,10084.54,62865.33,18689.27,53973.86,69753.56,41475.31,66449.85,59063.35,57847.82,60723.88,59474.18,1331.57,33688.23,39237.98,45386.27,0,17558.94,0,61999.83,13215.02,49322.93,53601.03,39510.91,22850.48,48982.22,13681.08,20030.74,14867.79,52497.92,11664.82,27174.14,1
"TCGA-EM-A3AL-01A-11R-A206-07",0,0,0,253213.41,17.51,0,443937.41,456418.21,253213.41,368165.8,329517.51,0,606436.73,434801.29,156954.93,162489.97,201440.3,100719.65,51775.15,28525.2,0,100023.92,3018.3,40062.48,14.78,71219.26,42054.3,44452.21,1551.09,187950.38,50359.33,8538.88,82378.63,35856.82,67846.12,92040.7,3039.3,24321.43,21320.18,38430.46,94628.34,332.14,1.08,37901.36,15824.9,2502.97,69753.56,71714.63,90773.53,0,529.06,669.92,74243.68,73730.83,47313.67,36106.23,5366.37,51775.15,78476.96,0,59887.86,42054.3,16960.78,0,49666,1175.27,1369.04,44145.15,53973.86,28328.16,61571.56,15075.35,59887.86,61146.25,42937.97,50359.33,34635.37,37639.55,53973.86,56265.94,1594.73,28923.41,36610.26,41188.81,0,26431.04,1.53,52135.28,29.7,50011.46,45072.75,50359.33,2451.44,43840.21,511,43537.38,39785.74,45386.27,11584.24,4736.79,1
"TCGA-E8-A436-01A-12R-A23W-07",0,0,0,554180.87,0,0,696613.03,863596.77,573724.06,573724.06,711250.37,0,200048.85,513497.31,341137.96,334117.42,322736.12,212926.09,117311.73,475800.4,0,397335,296977.71,93974.69,0,207103.59,167058.21,159145.95,27745.15,228208.61,112532.89,86474.27,107948.72,90146.51,44761.41,45386.27,25179.16,4704.07,92040.7,82378.63,108699.57,53230.77,127,5183.54,65082.31,48982.22,61571.56,71219.26,82951.62,0,39237.98,1104.13,83528.61,67377.47,72715.74,57448.23,8840.04,69753.56,69753.56,0,22850.48,37901.36,8421.31,0,64186.29,50011.46,551.56,52135.28,49666,11035.54,58250.19,45072.75,52863.07,59474.18,55107.99,47642.77,47974.16,67377.47,55107.99,42346.82,4298.64,34396.12,48643.87,49666,7.82,26614.89,0,45386.27,4607.24,39785.74,52863.07,46339.95,10585.95,53973.86,12676.65,16157.44,14065.74,47642.77,46662.28,28723.62,1
"TCGA-EM-A3OB-01A-11R-A220-07",0,0,0,263966.36,0,0,267651.2,286861.53,142439.51,214407.12,273275.14,0,456418.21,180294.02,90773.53,97288.74,99333,44452.21,93325.55,50709.61,0,93974.69,1991,43840.21,0,144427.91,35609.13,107948.72,490.14,258533.99,95286.54,7589.61,159145.95,73730.83,223512.12,79022.82,928.3,58250.19,72715.74,37639.55,153724.82,246.28,0,8022.41,8963.45,5147.73,97288.74,117311.73,179048.63,0,3146.52,358.54,113315.62,114103.8,92680.9,17558.94,1447.15,107203.06,87075.75,0,14663.09,69753.56,723.08,0,86474.27,4836.35,273.37,69271.73,73221.53,67377.47,88905.42,9540.5,88291.3,81244.48,41188.81,63742.91,50359.33,38966.94,85876.94,43840.21,595.34,50709.61,50359.33,80125.95,0,14867.79,1.51,76861.91,457.25,75280.1,67846.12,60723.88,872.1,57448.23,1757.34,20737.16,23492.92,70238.75,3955.48,11189.6,1
"TCGA-BJ-A4O8-01A-11R-A250-07",0,0,0,659036.03,0,0,945028.61,696613.03,585779.24,539026.74,531605.79,0,97965.44,345900.08,348306.01,256748.15,301123.38,225066.78,303217.87,246289.25,0,214407.12,233003.78,143430.26,4.54,137587.47,144427.91,112532.89,2271.4,207103.59,124000.67,79572.48,90773.53,101420.22,44761.41,35118.87,1519.15,392.44,85876.94,97288.74,121448.75,65535,0,848.22,34876.28,60304.42,78476.96,85283.74,68793.23,0,23656.34,2520.38,82378.63,73221.53,70238.75,63302.6,11424.74,59887.86,75803.72,0,45072.75,45386.27,111.99,0,74243.68,39785.74,1437.15,65535,53973.86,11424.74,60723.88,34396.12,57051.4,65082.31,57448.23,56657.31,60723.88,71714.63,57448.23,45701.96,1183.45,55107.99,34158.52,57448.23,25179.16,20030.74,0,54349.29,14163.58,46019.85,52135.28,45072.75,13586.57,56657.31,26986.43,12244.81,10512.82,52135.28,14867.79,30361.44,1
"TCGA-DJ-A3V4-01A-11R-A22U-07",0,0,0,627822.72,0,0,701458.36,659036.03,383800.28,391864.76,554180.87,0,280957.98,447025.24,254974.66,228208.61,327241.36,242898.5,42937.97,260332.24,0,389157.95,120609.84,33922.56,2.41,184082.4,105727.15,159145.95,1551.09,286861.53,72715.74,80683.28,185362.8,60723.88,57448.23,44761.41,2018.8,5872.48,74243.68,66449.85,143430.26,69753.56,29.27,8598.28,50011.46,34158.52,84694.64,113315.62,107948.72,0,39237.98,698.41,108699.57,85876.94,105727.15,41763.8,3540.14,95286.54,93325.55,0,22535.88,27745.15,1832.01,0,82951.62,33224.42,854.13,75803.72,75280.1,25887.07,78476.96,31215.04,72715.74,72213.45,90146.51,61571.56,59887.86,49666,69271.73,35363.15,708.18,55491.3,67377.47,77934.88,0,21768.19,0,62431.08,18431.96,56657.31,65990.84,65535,6471.02,72213.45,8658.09,12764.83,15607.02,65990.84,17558.94,20030.74,1
"TCGA-BJ-A0ZA-01A-11R-A10U-07",0,0,0,241220.67,0,0,236256.4,262143,197294.7,262143,263966.36,0,565825.41,214407.12,128373.58,131982.68,149521.18,84694.64,125731.67,33455.53,0,149521.18,3124.78,69271.73,4.35,77934.88,27553.49,129266.49,1605.83,260332.24,34876.28,21617.82,115696.65,84694.64,149521.18,119776.72,1277.29,10585.95,41475.31,20593.91,117311.73,269.6,0,53230.77,13776.25,12160.22,69271.73,70727.3,85876.94,0,988.12,2915.45,79572.48,74760.09,59063.35,39785.74,4268.94,80683.28,72213.45,0,20310.37,18950.18,1963.57,14.24,69271.73,5711.87,3280.18,52497.92,50709.61,10368.08,58655.36,22692.63,63302.6,76330.98,57847.82,52497.92,39785.74,38697.77,51775.15,33224.42,1191.69,36864.92,40904.3,54349.29,37.32,23656.34,2.16,40904.3,249.73,41188.81,47642.77,55107.99,2468.49,52863.07,2047,32994.92,30999.42,53973.86,10659.59,5594.3,1
"TCGA-EM-A1YB-01A-11R-A14Y-07",0,0,0,7202167.89,0,0,1078054.48,1578364.61,2864793.06,3091765.64,3178687.03,0,108699.57,834179.46,1048575,822695.06,762299.34,1131651.83,1041331.96,14262.1,0,124000.67,22850.48,405683.88,0,234624.45,42641.37,228208.61,373.81,190574.09,28723.62,36357.37,58250.19,51775.15,97965.44,20881.4,139.07,12160.22,41188.81,23986.58,57847.82,518.15,67.12,18178.19,22850.48,3124.78,37901.36,62431.08,75280.1,0,68.55,6294.04,61999.83,44761.41,35609.13,70238.75,5954.47,45701.96,59887.86,0,37121.34,16960.78,358.54,0,52497.92,5403.7,7642.41,27938.14,35363.15,27174.14,46339.95,14971.21,42937.97,42937.97,50359.33,27553.49,32315.87,60304.42,35856.82,112532.89,674.59,33224.42,23656.34,33922.56,0,29943.43,0,32315.87,153.34,24490.61,26431.04,33922.56,2351.53,20593.91,4419.52,11664.82,9279.58,64632.75,14163.58,5219.6,1
"TCGA-CE-A482-01A-11R-A23W-07",0,0,0,234624.45,0,0,320506.81,338781.54,214407.12,244588,229795.93,0,301123.38,269512.87,163620.18,133825.1,136637.07,67377.47,111755.56,262143,10.88,134755.94,118127.7,74243.68,0,102836.01,114103.8,68318.04,1794.29,236256.4,207103.59,36106.23,93325.55,50709.61,81809.59,19348.38,2796.65,607.87,92680.9,121448.75,128373.58,10733.74,3.44,1583.71,22535.88,33688.23,62431.08,76861.91,71219.26,0,4239.45,153.34,77396.54,71219.26,59063.35,55877.28,52497.92,61146.25,67377.47,0,45386.27,66912.05,102.25,0,61146.25,18950.18,175.07,62865.33,47313.67,6381.92,64186.29,23169.48,55491.3,67377.47,49666,46019.85,43236.64,60304.42,54727.32,51417.5,1143.1,38697.77,44145.15,49322.93,0,20881.4,0,47313.67,12853.63,51062.33,49322.93,49666,24832.5,53230.77,4836.35,21026.65,17437.64,52135.28,20310.37,53973.86,1
"TCGA-DJ-A3VF-01A-11R-A23N-07",0,0,0,1123834.93,0,0,1567462.05,1299926.74,906531.99,778316.89,951601.81,0,33688.23,851707.37,479109.86,453265.5,573724.06,324980.94,55491.3,177811.84,0,383800.28,301123.38,50709.61,0,194578.47,156954.93,301123.38,8022.41,237899.7,147462.67,68318.04,126606.21,67377.47,49666,21919.61,7130.55,909.17,67377.47,87681.42,123144.13,36106.23,1.38,397.93,47974.16,33455.53,61999.83,79572.48,79572.48,0,48643.87,10296.45,80683.28,68793.23,73730.83,64632.75,2758.13,65990.84,77396.54,0,88291.3,46019.85,124.37,0,68793.23,44145.15,11584.24,58655.36,54727.32,15607.02,57051.4,28723.62,51417.5,56657.31,70238.75,46986.85,45072.75,66449.85,59474.18,37901.36,1936.53,47642.77,46986.85,58250.19,0,24490.61,0,48643.87,35118.87,42641.37,45386.27,47313.67,13033.07,54727.32,11745.96,10225.32,9409.14,48982.22,18950.18,28723.62,1
"TCGA-ET-A3DQ-01A-11R-A19O-07",0,0,0,262143,0,0,249727.34,331809.5,239554.43,313910.86,263966.36,0,202841.44,277089.94,215898.44,156954.93,144427.91,93325.55,91404.92,249727.34,0,236256.4,12943.04,74243.68,6.84,111755.56,42937.97,68318.04,1628.26,279017.26,141455.6,61999.83,139508.13,62431.08,69271.73,57847.82,3280.18,7537.18,37379.55,41475.31,133825.1,961.07,4.62,5555.65,39237.98,23492.92,61571.56,69753.56,76861.91,0,1304.15,5041.77,77934.88,68318.04,59063.35,61146.25,39237.98,73221.53,53230.77,0,28328.16,108699.57,4869.99,0,53601.03,6983.79,5076.84,37901.36,58250.19,16157.44,61146.25,24490.61,52863.07,69753.56,52497.92,45386.27,35363.15,67377.47,57847.82,50011.46,1832.01,32092.64,41188.81,60304.42,9.41,61146.25,0,50359.33,26431.04,36610.26,52863.07,57847.82,14561.8,44452.21,9540.5,14163.58,14065.74,42641.37,29943.43,18431.96,1
